Causas (lista reducida);Sexo;Provincia de residencia;Total
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Burgos;392
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Cáceres;430
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Cádiz;753
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Cantabria;498
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Castellón/Castelló;501
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Ciudad Real;383
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Córdoba;665
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Coruña, A;914
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Cuenca;222
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Gipuzkoa;673
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Girona;584
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Granada;551
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Guadalajara;191
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Huelva;336
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Huesca;298
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Jaén;627
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;León;758
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Lleida;518
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Lugo;327
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Madrid;4.569
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Málaga;1.043
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Murcia;1.122
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Navarra;611
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Ourense;341
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Palencia;253
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Palmas, Las;796
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Pontevedra;740
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Rioja, La;185
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Salamanca;422
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Santa Cruz de Tenerife;847
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Segovia;114
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Sevilla;1.186
